party	member_name	question	answer	comment
Laisvės partija	Monika Ošmianskienė	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Greičiau nesutinku	
Laisvės partija	Monika Ošmianskienė	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Visiškai nesutinku	
Laisvės partija	Monika Ošmianskienė	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Nei taip, nei ne	Pakankama laikytis NATO normos.
Laisvės partija	Monika Ošmianskienė	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Greičiau nesutinku	Lietuvos retorika Rusijos politikos atžvilgiu nėra pernelyg agresyvi, bet dažnai ji supinama su Rusija ar Rusijos žmonėmis, kas skaudina Lietuvoje gyvenančius rusakalbius ir tai nėra gerai.
Laisvės partija	Monika Ošmianskienė	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Nei taip, nei ne	"„Zywie Belarus!“

Nėra šalies, kurioje nebūtų pažeidinėjamos vienokios ar kitokios žmogaus teisės ir laisvės. Klausimas formuluojamas netinkamai. Bet jei ekonominės sankcijos iš Lietuvos pusės padės baltarusiams kovoje už demokratiją ir laisvę, turime jų imtis, net jei Lietuvai tai ekonomiškai nenaudinga."
Laisvės partija	Monika Ošmianskienė	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Nei taip, nei ne	Ne Rusijos, o propagandinius kanalus, tame tarpe ir Rusijos.
Laisvės partija	Monika Ošmianskienė	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Greičiau sutinku	
Laisvės partija	Monika Ošmianskienė	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Greičiau nesutinku	Santykiai su Lenkija yra daugiasluoksniai, turime būti stiprūs gynybos partneriai, bet tai netrukdo laikytis principingumo ir savo pozicijos dėl žmogaus teisių ir  demokratijos pažeidinėjimų.
Laisvės partija	Monika Ošmianskienė	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Visiškai sutinku	
Laisvės partija	Monika Ošmianskienė	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Greičiau sutinku	
Laisvės partija	Monika Ošmianskienė	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Greičiau sutinku	
Laisvės partija	Monika Ošmianskienė	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Greičiau nesutinku	
Laisvės partija	Monika Ošmianskienė	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Greičiau sutinku	
Laisvės partija	Monika Ošmianskienė	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Visiškai sutinku	
Laisvės partija	Monika Ošmianskienė	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Greičiau nesutinku	
Laisvės partija	Monika Ošmianskienė	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Visiškai sutinku	
Laisvės partija	Monika Ošmianskienė	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Greičiau sutinku	
Laisvės partija	Morgana Danielė	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Visiškai sutinku	
Laisvės partija	Morgana Danielė	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Greičiau sutinku	
Laisvės partija	Morgana Danielė	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Greičiau sutinku	Nelankstus darbo kodeksas apsaugo darbuotojus, tačiau ir sukuria sąlygas neefektyviam ir nenašiam darbui, ypač valstybiniame sektoriuje.
Laisvės partija	Morgana Danielė	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Visiškai sutinku	
Laisvės partija	Morgana Danielė	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Greičiau nesutinku	
Laisvės partija	Morgana Danielė	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Visiškai sutinku	
Laisvės partija	Morgana Danielė	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Greičiau sutinku	Didinti pagal principą „teršėjas moka“ (ne „visi piliečiai moka“) ir kurti paskatas žalesniam verslui (labiau taikyti paskatinimo nei bausmės principą).
Laisvės partija	Morgana Danielė	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Visiškai sutinku	
Laisvės partija	Morgana Danielė	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Visiškai sutinku	
Laisvės partija	Morgana Danielė	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	
Laisvės partija	Morgana Danielė	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Visiškai sutinku	
Laisvės partija	Morgana Danielė	14. Bausmės nusikaltėliams turi būti griežtinamos	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Greičiau sutinku	
Laisvės partija	Morgana Danielė	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Neturiu nuomonės	
Laisvės partija	Morgana Danielė	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Visiškai sutinku	
Laisvės partija	Morgana Danielė	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Visiškai sutinku	
Laisvės partija	Morgana Danielė	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Visiškai sutinku	
Laisvės partija	Morgana Danielė	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Visiškai sutinku	
Laisvės partija	Morgana Danielė	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Neturiu nuomonės	
Laisvės partija	Morgana Danielė	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Neturiu nuomonės	
Laisvės partija	Morgana Danielė	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Visiškai sutinku	
Laisvės partija	Morgana Danielė	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Visiškai sutinku	
Laisvės partija	Morgana Danielė	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Visiškai nesutinku	
Laisvės partija	Morgana Danielė	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Greičiau sutinku	
Laisvės partija	Nerijus Vitkauskas	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Nei taip, nei ne	
Laisvės partija	Nerijus Vitkauskas	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Visiškai sutinku	
Laisvės partija	Nerijus Vitkauskas	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Greičiau nesutinku	
Laisvės partija	Nerijus Vitkauskas	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Greičiau sutinku	
Laisvės partija	Nerijus Vitkauskas	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Greičiau sutinku	
Laisvės partija	Nerijus Vitkauskas	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Greičiau sutinku	
Laisvės partija	Nerijus Vitkauskas	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Nei taip, nei ne	
Laisvės partija	Nerijus Vitkauskas	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Visiškai sutinku	
Laisvės partija	Nerijus Vitkauskas	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Visiškai sutinku	
Laisvės partija	Nerijus Vitkauskas	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Visiškai sutinku	
Laisvės partija	Nerijus Vitkauskas	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	
Laisvės partija	Nerijus Vitkauskas	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Greičiau nesutinku	
Laisvės partija	Nerijus Vitkauskas	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Visiškai sutinku	
Laisvės partija	Nerijus Vitkauskas	14. Bausmės nusikaltėliams turi būti griežtinamos	Nei taip, nei ne	
Laisvės partija	Nerijus Vitkauskas	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Visiškai nesutinku	
Laisvės partija	Nerijus Vitkauskas	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Nei taip, nei ne	
Laisvės partija	Nerijus Vitkauskas	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Greičiau nesutinku	
Laisvės partija	Nerijus Vitkauskas	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Greičiau nesutinku	
Laisvės partija	Nerijus Vitkauskas	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Neturiu nuomonės	
Laisvės partija	Nerijus Vitkauskas	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Nei taip, nei ne	
Laisvės partija	Nerijus Vitkauskas	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Greičiau nesutinku	
Laisvės partija	Nerijus Vitkauskas	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Nei taip, nei ne	
Laisvės partija	Nerijus Vitkauskas	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Visiškai sutinku	
Laisvės partija	Nerijus Vitkauskas	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Greičiau nesutinku	
Laisvės partija	Nerijus Vitkauskas	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Nei taip, nei ne	
Laisvės partija	Nerijus Vitkauskas	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Visiškai sutinku	
Laisvės partija	Nerijus Vitkauskas	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Nei taip, nei ne	
Laisvės partija	Nerijus Vitkauskas	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Greičiau nesutinku	
Laisvės partija	Nerijus Vitkauskas	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Greičiau sutinku	
Laisvės partija	Nerijus Vitkauskas	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Visiškai sutinku	
Laisvės partija	Nerijus Vitkauskas	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Greičiau sutinku	
Laisvės partija	Nerijus Vitkauskas	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Neturiu nuomonės	
Laisvės partija	Nerijus Vitkauskas	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Visiškai sutinku	
Laisvės partija	Paulius Leita	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Visiškai sutinku	
Laisvės partija	Paulius Leita	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Visiškai sutinku	
Laisvės partija	Paulius Leita	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Visiškai nesutinku	
Laisvės partija	Paulius Leita	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Greičiau sutinku	
Laisvės partija	Paulius Leita	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Visiškai sutinku	
Laisvės partija	Paulius Leita	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Greičiau nesutinku	
Laisvės partija	Paulius Leita	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Greičiau sutinku	
Laisvės partija	Paulius Leita	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Greičiau sutinku	
Laisvės partija	Paulius Leita	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Greičiau nesutinku	
Laisvės partija	Paulius Leita	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Greičiau sutinku	
Laisvės partija	Paulius Leita	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	
Laisvės partija	Paulius Leita	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Greičiau sutinku	
Laisvės partija	Paulius Leita	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Visiškai sutinku	
Laisvės partija	Paulius Leita	14. Bausmės nusikaltėliams turi būti griežtinamos	Visiškai sutinku	
Laisvės partija	Paulius Leita	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Visiškai nesutinku	
Laisvės partija	Paulius Leita	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Greičiau sutinku	
Laisvės partija	Paulius Leita	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Visiškai nesutinku	
Laisvės partija	Paulius Leita	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Visiškai nesutinku	
Laisvės partija	Paulius Leita	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Greičiau sutinku	
Laisvės partija	Paulius Leita	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Visiškai nesutinku	
Laisvės partija	Paulius Leita	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Visiškai nesutinku	
Laisvės partija	Paulius Leita	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Nei taip, nei ne	
Laisvės partija	Paulius Leita	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Visiškai sutinku	
Laisvės partija	Paulius Leita	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Visiškai nesutinku	
Laisvės partija	Paulius Leita	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Greičiau sutinku	
Laisvės partija	Paulius Leita	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Visiškai sutinku	
Laisvės partija	Paulius Leita	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Greičiau nesutinku	
Laisvės partija	Paulius Leita	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Neturiu nuomonės	
Laisvės partija	Paulius Leita	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Neturiu nuomonės	
Laisvės partija	Paulius Leita	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Visiškai sutinku	
Laisvės partija	Paulius Leita	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Visiškai nesutinku	
Laisvės partija	Paulius Leita	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Visiškai nesutinku	
Laisvės partija	Paulius Leita	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Nei taip, nei ne	Jeigu kalbama apie progresinius mokesčius, tuomet visiškai sutinku.
Laisvės partija	Ramūnas Siniauskas	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Greičiau sutinku	
Laisvės partija	Ramūnas Siniauskas	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Greičiau nesutinku	
Laisvės partija	Ramūnas Siniauskas	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Nei taip, nei ne	
Laisvės partija	Ramūnas Siniauskas	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Greičiau sutinku	
Laisvės partija	Ramūnas Siniauskas	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Greičiau nesutinku	
Laisvės partija	Ramūnas Siniauskas	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	Sutinku, tačiau neliečiant įsivaikinimo klausimo.
Laisvės partija	Ramūnas Siniauskas	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	14. Bausmės nusikaltėliams turi būti griežtinamos	Nei taip, nei ne	Reikia ne griežtinti, o sutvarkyti, peržiūrėti ir tikslinti  dabartinę teisinę sistemą šiais klausimais.
Laisvės partija	Ramūnas Siniauskas	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Visiškai nesutinku	
Laisvės partija	Ramūnas Siniauskas	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Greičiau nesutinku	
Laisvės partija	Ramūnas Siniauskas	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Visiškai nesutinku	
Laisvės partija	Ramūnas Siniauskas	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Greičiau sutinku	
Laisvės partija	Ramūnas Siniauskas	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Visiškai nesutinku	
Laisvės partija	Ramūnas Siniauskas	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Visiškai nesutinku	
Laisvės partija	Ramūnas Siniauskas	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Greičiau sutinku	
Laisvės partija	Ramūnas Siniauskas	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Greičiau nesutinku	
Laisvės partija	Ramūnas Siniauskas	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Greičiau sutinku	
Laisvės partija	Ramūnas Siniauskas	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Visiškai nesutinku	
Laisvės partija	Ramūnas Siniauskas	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Greičiau sutinku	
Laisvės partija	Ramūnas Siniauskas	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Visiškai sutinku	
Laisvės partija	Ramūnas Siniauskas	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Greičiau nesutinku	
Laisvės partija	Ramūnas Siniauskas	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Greičiau nesutinku	
Laisvės partija	Ramūnas Siniauskas	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Visiškai sutinku	
Laisvės partija	Rasa Politikienė	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Greičiau nesutinku	
Laisvės partija	Rasa Politikienė	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Greičiau sutinku	
Laisvės partija	Rasa Politikienė	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Greičiau sutinku	
Laisvės partija	Rasa Politikienė	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Visiškai sutinku	
Laisvės partija	Rasa Politikienė	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Nei taip, nei ne	
Laisvės partija	Rasa Politikienė	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Greičiau nesutinku	
Laisvės partija	Rasa Politikienė	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Greičiau sutinku	
Laisvės partija	Rasa Politikienė	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Greičiau sutinku	
Laisvės partija	Rasa Politikienė	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Nei taip, nei ne	
Laisvės partija	Rasa Politikienė	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Greičiau sutinku	
Laisvės partija	Rasa Politikienė	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	
Laisvės partija	Rasa Politikienė	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Visiškai nesutinku	
Laisvės partija	Rasa Politikienė	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Visiškai sutinku	
Laisvės partija	Rasa Politikienė	14. Bausmės nusikaltėliams turi būti griežtinamos	Visiškai nesutinku	
Laisvės partija	Rasa Politikienė	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Visiškai nesutinku	
Laisvės partija	Rasa Politikienė	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Visiškai nesutinku	
Laisvės partija	Rasa Politikienė	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Visiškai nesutinku	
Laisvės partija	Rasa Politikienė	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Visiškai nesutinku	
Laisvės partija	Rasa Politikienė	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Nei taip, nei ne	
